"Tür"	"Künye"	"Sol"	"-5;5"	"Sağ"
"s"	"S-ADABAo-0312-2447"	"yol izlememiz gerekli olur? Doğru"	"olur?"""	"diye sormuş. Emm ""Burayıda en"
"s"	"S-ADABDp-0432-1981"	"yoktu. Ben de şaşırdım niye"	"oldu."	"Şimdi siz öyle deyince... İşte"
"s"	"S-BEABXM-0157-244"	"yoktu kızanları, yirmi sene yoktu"	"oldu."	"Ayy! O işte dundurma yimişler"
"s"	"S-ADABCo-0335-703"	"yoksullaştıran, bu siyasal bu kültür"	"olsun"	"yani bunu tarif etmeye çalış"
"w"	"W-RD30D1B-2179-1634"	"yoksa Türkiye'nin de bir anlamı"	"olmaz."	"AB ayakta durduğu sürece, Türkiye,"
"s"	"S-ADABAo-0310-2257"	"Yoksa bizim tüketicimiz böyle alışmış"	"olduğu"	"tatlara ya da ürünün fiyatlarına"
"w"	"W-KI37E1B-3055-1891"	"yoklayışlarımda hep köşesindedir çantamın; ya"	"olmasaydı?"	"Da düşünürüm asalak yalnızlığım. Ardımdan"
"s"	"S-ADAABo-0367-1989"	"yok. Örneğin ünlü bir tarihçi"	"olarak"	"Halil İnalcık Üniversitesi yok. Acaba"
"w"	"W-TI44F1D-5123-1174"	"yok. Geçen senede aynı şekilde"	"olmuştu,"	"kimi çok güzel gelişme göstermişti,"
"s"	"S-BEABXS-0111-2065"	"yok yani karıdan da paşa"	"olmaz."	"Yok yani o da olmaz"
"s"	"S-BEABXB-0073-864"	"Yok ya kapandı ama güzel"	"oldu"	"yinede. Şimdi sana biraz kıyafet"
"w"	"W-GD02A3A-0556-1680"	"yok olmaz!"" Endülüs Emevileri'ne ek"	"olarak"	"bir de İstanbul'un Osmanlılarca alınması"
"s"	"S-ADABIO-0437-2042"	"Yok kışında kullanıyorum. Kışında kapalı"	"olduğu"	"için bir de bizim tuvaletimiz"
"s"	"S-BEABXO-0345-1828"	"yok ki. Uzaktan baktığında belli"	"olsun"	"yani. Nasıl ağbi? Süper ağbi"
"s"	"S-BEABXO-0091-531"	"yok kardeş. Bu çok güzel"	"oluyor"	"süper kafa yapıyor ben bi"
"w"	"W-LH32D1B-2564-2096"	"yok edilemeyen direncin, inadın çiçeği"	"olarak"	"bilinir. Bir amaç uğruna herkesten"
"w"	"W-DI22C3A-0719-1586"	"yok artık! Yannis Ritsos'un dizelerinde"	"olduğu"	"gibi, geride bir şey var"
"s"	"S-BEABXw-0398-2174"	"Yo, bende kan tutma işi"	"olmuyo"	"Allah'tan. İşte öyle kanımı aldı."
"w"	"W-ME39C3A-1082-1455"	"yiğit, mümkün değil. Susturamazlar. Yanardağ"	"oluruz,"	"yıldırım oluruz, ezanı susturanların karşısında"
"s"	"S-BEABXs-0130-1039"	"yiyorduk, ikide evde oluyorduk, yurtta"	"oluyorduk,"	"yatıyorduk, altıda kalkıyorduk, 7'de yemeğe"
"s"	"S-BEABXO-0348-368"	"yiyemiyorsun ki? Bilmiyorum. Çok iğrenç"	"oluyor"	"böyle ağzında falan. Din dirii,"
"s"	"S-AAABXN-0004-85"	"yiyebilirsin. I-ıh Niye? Aliye'nin sağlıklı"	"olması"	"lazım. Alla Alla Aliye kendine"
"w"	"W-LG24D1B-2302-470"	"yitirmeyen, gerektiğinde dokunaklı, gerektiğinde neşeli"	"olabilen"	"ve rahatça seyredilen bir film"
"w"	"W-NG03A1A-2587-2354"	"yinelenebilir ve aynı sonuca ulaşılabilir"	"olması"	"varsayımını içeren yöntemsel yaklaşımın nesnelliği;"
"s"	"S-BEABXO-0051-1870"	"Yinede sen gene baktın 7-8"	"oldu"	"şey yapmıyo Fatih desen o"
"s"	"S-ADBBAo-0443-1578"	"yine. Öyle devam etseydi yok"	"olup"	"giderdi. Cem Özer'in bir lafı"
"s"	"S-ADAALA-0267-1127"	"yine önemli bir gelir kaynağı"	"olarak"	"geliyo, o dönemde de. Ee!,"
"w"	"W-UD02A1B-4611-1620"	"Yine söz konusu kına gecesi"	"olduğunda"	"tören mekânını kız tarafının sağlamasına"
"s"	"S-BEABXO-0343-1220"	"yine kıtır kıtır bi şey"	"oldu"	"un. <Gülme> <Gülme> Velhasıl o"
"w"	"W-ZI45E1C-5072-1178"	"yine güzel, yine muhteşem. Kocasıyla"	"olan"	"aşklı meşkli pozları bile tatlı"
"s"	"S-ACABTZ-0336-2443"	"yine emm atmosferde ısınmaya neden"	"oluyor."	"Şöyle ki emme sera gazına"
"w"	"W-VI44F1D-4747-1432"	"yicem meyveyi acıkıyorm akşam iyi"	"oluyo"	"yatıştırıyo valla canım benim dediğim"
"s"	"S-ACABQq-0426-103"	"yetkili... Bu yanlış bir uygulama"	"olur"	"hukukta, sansür durumunu genişletebilir. Bunun"
"s"	"S-ADABPZ-0356-1005"	"yetersiz olduğunu da bilmekteyiz. Okulda"	"olan"	"çocuğun sağlığının korunması ve geliştirilmesi,"
"s"	"S-ACABPA-0434-2040"	"yeterli değildir. yarı başkanlık sisteminin"	"olabilmesi"	"için, başkanın mutlaka halk oyuyla"
"s"	"S-ADABPZ-0134-662"	"yeterince irdelenmeden, tartışılmadan benimsenen kalıplar"	"olarak"	"yaygınlaşıyorlar. Arkasında bir süper güç"
"w"	"W-FE03A2A-1782-382"	"yeteneklere sahip oldukları, d. sonuç"	"olarak,"	"üstün ırkların aşağı ırklar üzerinde,"
"s"	"S-AEAASO-0039-221"	"yetecek belki de servete sahip"	"olacaksın."	"Ama Allah güceniyor ise o"
"w"	"W-HE39E1B-2893-2452"	"yersizliğe son verebilmek için siyasi"	"olabilmek,"	"Türkiye için siyaset üretebilmek gerekiyor."
"w"	"W-IA16B2A-1499-1999"	"yerli yersiz, sık sık Laika'ya"	"olan"	"bağlılıklarından, Laika'yı nasıl sevdiklerinden. Sultanın"
"w"	"W-UG37E1B-3068-2046"	"yerini alır. Giyinilip günlük hakları"	"olan"	"iki somun ekmeği almaya giderler."
"s"	"S-ADABPZ-0373-2396"	"yeri hakediyoruz aslında sağlık çalışanları"	"olarak."	"Bunu bütün kalbimle hissediyorum. Buna"
"s"	"S-BEABXO-0343-2426"	"yeri dedi ayırıyorum dedi çok"	"olanını"	"dedi. Yumurtayı ona kırıyorum dedi."
"w"	"W-UE02A4A-0908-848"	"yerelleşmiş ve etkileşimci bir araç"	"olarak,"	"varlık nedeni olan halkın denetimi"
"w"	"W-OD02A2A-2052-164"	"yerel vergi ve bütçelerle karşılanacak"	"olmasına"	"rağmen eğitimin kalitesini ve eğitimdeki"
"w"	"W-FA16B2A-1037-324"	"yerden yollanmış bir yazı da"	"olabilirdi"	"o zarfta ve bu olayla"
"s"	"S-BEABXO-0342-1003"	"yerden aynı şekilde geliyolar. İşte"	"olabilir"	"çünkü Türkiye'de adam yok ki"
"s"	"S-BEABXO-0013-1918"	"yer ya. Burası nereye bağlı"	"olmuş"	"oluyo? Sinop gene. Boyabat galiba."
"s"	"S-BEABXW-0173-1983"	"yer ya da kalmak üzere"	"olan"	"bi yer vardı hatta <B>..."
"w"	"W-EF10A3A-1831-1862"	"yer verilmiştir. Bu sektörde hammadde"	"olarak"	"kullanılan önemli sebze türlerinin tesislerce"
"w"	"W-DF10A3A-1844-1430"	"yer veriliyordu. Halka fazla yük"	"olan"	"menzilhânelerin kira ile idare edilmesine"
"s"	"S-ACAAPZ-0032-998"	"yer edinmiştir. Mersin Üniversitesi mensubu"	"olmak"	"Mersin Üniversitesinde çalışıyor olmak herkes"
"w"	"W-RF25D1B-2761-1196"	"yer almıyor. Globallik, sadece askeri"	"olarak"	"veya siyaseten olmuyor. Bu global"
"w"	"W-QE39E1B-2902-1025"	"yer aldığı bir ekolojiye sahip"	"olduğu"	"için ve tarihselcilik tarih biliminin"
"w"	"W-PG09C3A-0021-586"	"yeniden seyretmek nereden bakarsanız keyifli"	"olacak"	"gibi."
"w"	"W-KA16B1A-1730-858"	"yeniden duydum. Üstelik daha net"	"olarak..."	"""Help..."" Yani imdat. Neyse ki"
"w"	"W-OG24D1B-2300-1642"	"yeni yaratıları beslemek için bilinçli"	"olarak"	"kullanıyor. Sanatçının yapıtlarında seramik kendi"
"w"	"W-SF25D1B-2147-527"	"yeni vergi düzenlemeleri ile ayrım"	"olmaksızın"	"menkul kıymet araçları yüzde 15"
"s"	"S-ADABPZ-0113-2422"	"Yeni Türkiye devleti çağdaş devlet"	"olmalıydı"	"yani gelişmiş ülkeler sanayileşmiş ülkeler"
"s"	"S-ACABQq-0420-2277"	"yeni teşkilata ve ülkemize hayırlı"	"olmasını"	"diliyorum. Sayın milletvekilleri, Hâkimler ve"
"w"	"W-SI09C2A-0405-299"	"yeni soyadınıza çok çabuk adapte"	"oldunuz,"	"ama bir gün boşanmaya karar"
"s"	"S-AEABTZ-0040-1439"	"Yeni reaktörler bekleniyor. Bir duraklama"	"oldu."	"Bunu ben de söylüyorum. Bunun"
"s"	"S-AEABTZ-0040-108"	"yeni reaktör inşa edilmek zorunda"	"olduğu"	"söyleniyor, eğer siz küresel ısınmayı"
"w"	"W-QE39C4A-0060-974"	"yeni kabinede Milli Savunma bakanı"	"olmuştu."	"Münir Birsel, Evliyazade Hacı Mehmed"
"w"	"W-FE05A2A-1057-1110"	"yeni görünümler bu değişim sürecinin"	"oldukça"	"geniş bir alanı içine aldığını"
"w"	"W-FE39C4A-1346-552"	"yeni bir proje önerisi olup"	"olmadığını"	"sordu. Araştırma Müdürü Aziz Konukman,"
"w"	"W-JA16B2A-0873-1529"	"yemiş"", ""deli"", ""kaçık"", ""aklından zoru"	"olan"","	"""raporlu"" insanlar özel bir yere"
"w"	"W-SD30D1B-2204-1422"	"yemeğiyle sona erdi. Erdoğan, programında"	"olmasına"	"Ankara'ya gelecek Finlandiya Başbakanı Matti"
"s"	"S-BEABXO-0339-1302"	"yemeğinin sofrası ortada <gülme> E"	"olacak"	"o kadar öğrenci evi. Yani"
"w"	"W-QI41C3A-1457-2047"	"yemeği kimin evinde yediğimize bağlı"	"olarak"	"bir veya iki öğün şeklinde"
"s"	"S-BEABXg-0090-223"	"yemez işte. Egemen'den anca yedek"	"olur."	"<B> koyacaksınız. Bekir'i kovacaksınız. <B>"
"s"	"S-BEABXO-0071-1263"	"yediriyorsunuz çocuğa. Ondan değil erken"	"oldu"	"ya dişleri. Hıh. Erken çıkınca"
"s"	"S-ACABQq-0425-1188"	"yediden yetmişe bütün insanımızın bütünleşmiş"	"olduğu"	"AK Parti İktidarımız hizmetini yapmaya"
"w"	"W-DI09C2A-1054-2428"	"yaşını doldurmuş yüksek okul mezunu"	"olmak"	"gerekiyordu. Ben ise dört ay"
"s"	"S-BEABXc-0167-796"	"yaşındayken 6 yaşında diolar. Ben"	"olsam"	"gittim yerde derim ki, otele"
"s"	"S-BEABXB-0003-575"	"yaşında işte 93'lü. 92'li de"	"olabilir."	"Yüzünü ailesine bile göstermemişler. paramparçaymış"
"s"	"S-ADABCo-0314-985"	"yaşında 7200 günle bağkurdan emekli"	"olmakla"	"karşı karşıya kalır. Emm Ali"
"s"	"S-BEABX\-0065-1381"	"yaşına kadar... 50 olmadı 40"	"oldu"	"40 evlen. O zaman da"
"s"	"S-ADABPZ-0134-595"	"yaşta çok bilgili olduğunu anlamış"	"oluyor"	"ve buyur ediyor fakat sorusu"
"w"	"W-GE37C2A-0549-183"	"yaşayan köylülerin devlete ödemek zorunda"	"olduğu,"	"ürünün onda birinden yarısına kadar"
"w"	"W-UH32D1B-2516-1631"	"yaşanabilir. ""Böyle bir şey demokrasilerde"	"olmaz,"	"hayal görüyorsun"" diyeniniz çıkarsa, benim"
"s"	"S-BEABXs-0130-1632"	"yaşamışsın. Basit bir soru ne"	"oldu?"	"<gülme> Bende döndüm sakin ol"
"w"	"W-JI09C0A-0275-2053"	"yaşamının daha çabuk yakınlaştırmaya başlamış"	"olduğu"	"acı sondan başka bir şey"
"s"	"S-ACABFZ-0049-1811"	"yaşaması, güçsüzlerin ve sağlıksızların tasfiye"	"olması"	"konusunda bir kanunun egemen olduğunu"
"w"	"W-NE39C0A-0215-1808"	"yaşam ve mücadele sahası irdelenecek"	"olursa,"	"bu şahsın devletçi bir çizgide"
"s"	"S-ADABPZ-0374-1969"	"yaşadığı bölgeler ve kürt bölgeleri"	"olarak"	"adlandırılan bu kısımlar durup duruken"
"s"	"S-BEABIs-0015-1087"	"yaş üstü insanlar izledi doğal"	"olarak."	"Evet. Şimdi ben hani hep"
"w"	"W-UA16B1A-1249-821"	"yağmaz, güneş doğmaz. O'nun izni"	"olmadan"	"hiçbir bir yaprak dahi kımıldayamaz."
"w"	"W-PI42E1B-2938-660"	"yağda yapılmalıdır. Bol yağda oksidasyon"	"olmayacağı"	"için yiyeceğin besin değeri azalmaz."
"w"	"W-UI32D1B-2553-1215"	"yazıyı gönderen çocuğun psikolojik sorunlarının"	"olması"	"çok normal ki böyle bir"
"s"	"S-BEABXu-0435-1234"	"yazıyo. Teslime! Üç dakika mı"	"oldu"	"lan <gülme> Üç dakika oldu"
"w"	"W-PD03A1A-3345-567"	"yazıldığı sıralarda, CNN-Türk'ün yayıncılığında tanık"	"olunduğu"	"gibi bir şeydir CNN-INT 24"
"w"	"W-KI43C3A-1802-1504"	"yazıların çoğu kendi araştırma alanım"	"olan"	"yeni Türk edebiyatı etrafındadır. Bunlar"
"w"	"W-QA16B4A-1287-230"	"yazık ki çok geç haberim"	"oldu."""	"""Sarsıldık. Önce kirletip, sonra da"
"w"	"W-QI41C4A-1486-1237"	"yazmıştım. Bu yorumlarımın Nilüfer'in bana"	"olan"	"güven duygusunda sapmalar yaptığını da"
"s"	"S-ADBBI^-0326-1476"	"yazmıştı, oysa benimkinin şov programı"	"olması"	"gerekiyordu. Muzaffer Bayhan diye bir"
"w"	"W-SI22C4A-0170-1663"	"yazmış birinin şehrin sokaklarına ait"	"olması"	"gerekir. Karanlık Bahçenin Görkemli Ağacı"
"w"	"W-OA16B1A-1221-1908"	"yazmış ""Güzel kızlar çook uzaklarda"	"olurlar."""	"Anneanne erkenden kalkıyor, öğlene kadar"
"w"	"W-KI09C2A-1525-1235"	"yazdığı mektupların hasret gidermeye yeterli"	"olmadığını"	"da o anda anladım. Beş"
"w"	"W-TE39C4A-0359-2233"	"Yazarlarından imzalı kitapları her zaman"	"olduğu"	"gibi Başkent Üniversitesi'ne bağışladım. Böylece"
"w"	"W-VH20C4A-4854-801"	"yazamayacaksın. Yazsan, çok komik de"	"olurdu."	"Sen profesör olunca, bakarsın ben"
"s"	"S-BEABXO-0418-2478"	"yaz çocuğu biri Bahar çocuğu"	"olmuş"	"olucak. Bebiş ne zaman İşte"
"s"	"S-ACABQq-0426-2031"	"yayınlar yapılmaktadır. Bu yayınların etkili"	"olup"	"olmadığı konusunda veyahut da ne"
"s"	"S-ADABAo-0355-2460"	"yayında görmek, tabi çok alışık"	"olduğumuz"	"bi bişi diğil. Ee! uyutmamaya"
"w"	"W-TE39C0A-1396-1884"	"yatıyorsun. Açsın da..."" Bir şey"	"olmaz."	"Böyle şeyler geçicidir. Yeter ki"
"w"	"W-IF18E1C-4145-529"	"yatırımlarının 1995 yılında yüzde 4.6"	"olan"	"GSMH içindeki payı 2000 yılında"
"s"	"S-BEABXO-0083-2501"	"yatıp kalktığını yazdığı zaman uyuz"	"oluyorum"	"ben de. Özel bi yerlere"
"s"	"S-BEABXO-0128-301"	"yatıo, bilmem bir şey ameliyatı"	"oluyor,"	"ameliyatın peşine şey enfeksiyon abuk"
"s"	"S-BEABXg-0090-759"	"yattı. Mahçup olduk. Ertesi gün"	"oldu"	"gene ses yok. Dedim öldün"
"s"	"S-BEABXd-0172-524"	"yatsın kalksın. Diosun. Evet. Çeşitlilikte"	"olcak."	"<gülme>"
"s"	"S-ADABDp-0432-363"	"yataklarının derecesi en fazla 50-55'te"	"olacak."	"Düşürücez dereceyi. Onun dışında yapacakları"
"s"	"S-AEAASO-0039-2038"	"yasağına uyarsanız, Benim emrimi tanımamış"	"olursunuz."	"O zaman Rabbi'miz bizden namaz"
"w"	"W-ED02A3A-0594-54"	"yasası""nın tüm ayrıntılarını kitabında vermiş"	"olmasına"	"karşın, Adnan Benk ile konuşmasında"
"s"	"S-ACABQq-0420-2073"	"yasalaştığı takdirde 2-3 katına çıkmış"	"olacaktır;"	"yani, bu düzenlemeyle, ülkemizin en"
"w"	"W-ID02A1B-3828-1171"	"Yasa düşüncesine vardıran da bu"	"olmalıdır."	"""Babanın düşü"" adını verdiğimiz şu"
"s"	"S-AEABI^-0330-136"	"yarışması olurdu, tiyatrolar olurdu, münazaralar"	"olurdu,"	"bilgi yarışmaları olurdu. Her öğürenci"
"s"	"S-BEABXg-0090-1294"	"yarısı dozerlen. Ee! dedim ne"	"olacak?"	"Eğer şey yoksa servissiz gelebiliyosan"
"w"	"W-FE39C3A-0397-1457"	"Yarın hava iyi olsun, kirazlar"	"olsun"	"diye. Ekmeği bulabileceğinden umudunu kesmişti"
"s"	"S-BEABXO-0416-2028"	"yarım saat mola o zaman"	"oluyor."	"İkiye doğru oluyor. Belki de"
"s"	"S-ACABPA-0434-1502"	"yarı-başkanlık sisteminin ne ölçüde başarılı"	"olacağı,"	"bu 5 yıllık ""birlikte yaşama"""
"s"	"S-BEABXO-0117-1548"	"Yarı yarıya. Daha doğrusu şöyle"	"oldu."	"Yani emm meslek liseliye gelen"
"s"	"S-BEABX{-0085-1295"	"yarı 2 ikinci yarı 2"	"olur"	"mu? Olabilir. Yani her türlü"
"w"	"W-NE39C3A-0614-1189"	"Yardımcısı ve Yönelim Kurulu Üyesi"	"olarak"	"göreve başladı. Mustafa Kırali, Hazine"
"w"	"W-UE05A3A-2590-985"	"yardım ne olacaktı? Kırım savaşında"	"olduğu"	"gibi Osmanlı ordusu ile savaşa"
"w"	"W-TI45F1D-4682-2364"	"yarattığı halde, onlardan hiçbirisine sahip"	"olamayan"	"bir sınıfı, prolateryayı. Ortada Hegel'in"
"s"	"S-ACABUZ-0035-1762"	"yararlanmıştır. Ama çok az etkili"	"olduğunu"	"da pek sanmıyorum kusura bakmayın."
"s"	"S-ADABCo-0197-2015"	"yararlanabileceklerini örnekleriyle hatırlatan Başbakan ""Gelicek"	"olanlarla"	"ilgili her zaman bu tür"
"s"	"S-ACAAPZ-0327-2169"	"yar ellerin olmuş, ben iflah"	"olmam"	"bunun üstüne. Bunun üstüne kendi"
"s"	"S-BEABXO-0012-2374"	"yapıyoruz. Şunu dicem Bizden mezun"	"olan"	"adam, hiçbi şey olmazsa, eğitmen"
"s"	"S-BEABXO-0071-2331"	"yapıyorlar diye. <gülme> Çok uzakta"	"olduğumuz"	"için. Babamdan da deneme sınavı"
"w"	"W-VI19E1A-4028-1144"	"yapıyor. Aynaya baktığında kırk yaşında"	"olduğuna"	"inanmakta güçlük çekiyorsun. Çok daha"
"s"	"S-ADABPZ-0112-1140"	"yapısıyla ilgili bir takım sorunlar"	"olabilir."	"Dikkatini bi konuya yoğunlaştırmakta güçlük"
"s"	"S-AEAASO-0039-1662"	"yapıp ta kazanan yok. Helal"	"olan"	"bi şeyi yapıp ta zarar"
"s"	"S-ADBBAo-0443-724"	"yapıp senin hayatını anlatmak isterim."	"Olur"	"neden olmasın. Peki yıllar sonra"
"s"	"S-AEABAo-0019-2205"	"yapın. 3 ay evet sabırlı"	"olup"	"3 ay yapanlar 3 ay"
"s"	"S-ADABCo-0242-603"	"yapılıyor."" Olmassa Ukrayna büyük <B>"	"olur."	"Evet. ""Patrondan sert uyarı!"" Milliyet."
"w"	"W-SI44F1D-5101-2256"	"yapılır. Bir de kışın zayıf"	"olan"	"dalları budayın. Bu arada yeni"
"w"	"W-UE36E1B-3357-1629"	"yapılmış en etkileyici savaş filmi"	"olarak"	"kabul edilen bu şaheserin renkleri"
"s"	"S-AAABLp-0158-1305"	"Yapılmaz. Olamaz kış mevsimi uzun"	"olduğu"	"için anlatabildik mi yorumunu yaparız."
"w"	"W-NE41C3A-1031-386"	"yapılması yanlış. Polisimiz de medyatik"	"oldu."	"İlkokul müsamerelerine çeviriyorlar."" Barolar Birliği"
"w"	"W-EC01A1B-3544-1360"	"yapılmadığından ""anaerop Gram negatif çomak"""	"olarak"	"bildirilmektedir. Bu durumda 52 dişin"
"w"	"W-NC06A4A-1970-850"	"yapıldığı NASA'nın düzenlediği basın toplantısında"	"oldu."	"Washington Post gazetesinin ""çok iyi"
"s"	"S-ACABQq-0425-1327"	"yapılanma, kamuoyuna, tarafınızdan, bir ""reform"""	"olarak,"	"bir ""devrim"" olarak sunulmuştu anımsayacaksınız."
"s"	"S-ACABQq-0425-506"	"yapılandırılmasıyla ilgili büyük beklenti içerisinde"	"olan"	"vatandaşlarımız bizi arıyorlar ""bugün görüşülecekti,"
"w"	"W-SF10A2A-1861-2421"	"yapılan çalışmaların birçoğunun bulgusuna paralel"	"olarak,"	"ilköğretim, ortaöğretim ve yükseköğretimde okullaşma"
"w"	"W-QD36C0A-0222-2380"	"yapılan bir telsiz konuşması ruhunuzu"	"olması"	"gereken yerden koparır. Yakınımda çalışanlar"
"w"	"W-TE36E1B-3295-1147"	"yapılamayınca dede de kendini eğitemez"	"oldu."	"Onun yanında Alevi kesiminin üniversiteyle"
"w"	"W-OD03A4A-0253-2480"	"yapılabilecek en büyük kötülüğün bu"	"olduğu"	"kanısını taşıyorum. Çocuklarımıza yazık ediyoruz."
"w"	"W-UH03A2A-0494-1440"	"yapı mı istiyor? Açıkça, köleliğin"	"olmadığı"	"bir toplum yapısı istiyor. Peki,"
"s"	"S-ADABPZ-0135-405"	"yaptığının yanlış olduğunu temellendiremez. Nihai"	"olarak"	"gerekçelendiremez. Etikte böyle temeller yoktur."
"w"	"W-GD03A0A-0256-759"	"yaptığımız konuşmalarımıza katılmasının ona yararlı"	"olacağından"	"hiç şüphem yoktu ama Yakup"
"w"	"W-VC01A1A-2709-1456"	"yaptığı ölçümlerde, alkol metrenin güvenilir"	"olduğu,"	"ölçülen kan ve solunum havası"
"w"	"W-SE36E1B-3294-2003"	"yaptığı kurumdakilerle birlik içinde olup"	"olmadığını,"	"itibarını koruyup koruyamadığını bilmediğimiz birinin"
"s"	"S-BEABXw-0057-1769"	"yaptığı için. <B> yumurta var"	"olur"	"mu? <gülme> Hadi bay bay!"
"w"	"W-LA16B1A-1366-1661"	"yaptım ama ablamınki kadar güzel"	"olmadı."	"Ablam her şeyi benden iyi"
"s"	"S-ADABAo-0368-642"	"yapsaydım belki bu kadar rahat"	"olmazdım."	"Çünkü sizin konuşmalarınızdan aldığınız nefesten"
"s"	"S-BEABXO-0136-2263"	"yapmışlar; ama şu anda pil"	"olmadığı"	"için biz bunu çalıştıramıyoruz. Siz"
"s"	"S-BEABXc-0167-162"	"yapmışlar. Olsun. İltihap varmış orda."	"Olsun,"	"bebek gibi kızdı bana. Bebek"
"s"	"S-ADBBI^-0042-1507"	"yapmaz"" diyordu, ama siyasette maalesef"	"oluyor"	"böyle şeyler... İşte o arada"
"s"	"S-BEABXO-0122-2018"	"yapmaz mı? Kız tarafının evinde"	"olur."	"Kız tarafının evinde olur da,"
"w"	"W-OH32D1B-2567-597"	"yapmayın!"" diye. Hiçbir zaman kavgacı"	"olmadınız,"	"ama benim elimde değil öfkeleniyorum."
"s"	"S-ACABTZ-0336-982"	"yapmayalım tartışmasını aramızda sürdürürken ülke"	"olarak"	"biz de İran'da olduğu gibi"
"s"	"S-ADBBI^-0326-1832"	"yapmaya özeniyorum da muvaffak olup"	"olmadığımı"	"öğrenmek için sordum. Bu, İngiliz"
"s"	"S-AAABOp-0011-2402"	"yapması, silah yapması vs. örnek"	"olarak"	"verilir. <D 505> Evet. İşte"
"s"	"S-ADAB^o-0200-535"	"yapmak lazım? Sonuç tabi çocuk"	"olunca"	"olay gerçekten de istiyoruz ki"
"s"	"S-BEABXR-0010-1549"	"yaparız bi patlıcan bi et."	"Olur."	"Baba bunun tuşları ne kadar"
"w"	"W-RE30D1B-2121-123"	"yapan Garang'ın sağlık durumunun iyi"	"olduğunu"	"açıkladı. Olayla ilgili olarak gelen"
"w"	"W-KB04A2A-1895-938"	"yapan elektrik yükleri enerjiyi kesiksiz"	"olarak,"	"her değerde yayabilir veya soğurabilir."
"s"	"S-ADAB^Z-0370-1653"	"yapamıyoruz? Sınavlarımız bizi kariyer planı"	"olarak"	"arkadaşlarımızda da olduğu gibi genelde"
"w"	"W-LD30D1B-2208-282"	"yapamaz mı? Şartlar istediği ölçüde"	"olursa"	"elbette evet. O yarının meselesi."
"s"	"S-BEABXg-0088-106"	"yapalım. Nişan olsun ee! nişan"	"olsun"	"da bu sefer baskı çift"
"s"	"S-AEABTZ-0040-2286"	"yapacağız hep beraber? Uygarlığın dışında"	"olmuş"	"olan insanlar siz ne kadar"
"s"	"S-BEABXs-0130-1993"	"yapacağını bilerek gitmek daha iyi"	"olur."	"Haaa. Konuşmasan da olur önemli"
"s"	"S-BEABXO-0340-1649"	"yapabiliyoruz. 4 yıllıktan, öğretim görevlisi"	"olabiliyoruz,"	"kaptan olabiliyoruz. Evinizde hiç balık"
"w"	"W-TC29D1B-2800-329"	"yapabilirsiniz. Bir web günlüğü sahibi"	"olmak"	"için www.blogger.com veya www.livejournal.com adreslerini"
"s"	"S-BEABXO-0344-2306"	"yapabilirdik. Yok canım daha ne"	"olsun?"	"Bence gayet güzeldi. Yasemin'e fazla"
"s"	"S-ACABQq-0423-515"	"yapabilecektir. İki tarafın önceden imzalamış"	"oldukları"	"uluslararası anlaşmalar, bir liste dahilinde,"
"w"	"W-GE05A1B-3490-93"	"yanında başka görevler de yürütmekte"	"olması"	"kendisinin mahkeme sayılmasına engel. Tam"
"s"	"S-ADABAo-0318-1161"	"yanımda olmasını istediğim hep yanımda"	"olan"	"zarif, kibar, gerçek bir beyfendi."
"s"	"S-ADABPZ-0119-2058"	"yanlış. Şimdi Aristo'nun yasalarının yanlış"	"olduğunu"	"bulduk. <B> yasalarını kullanıyoruz fakat"
"w"	"W-UE02A4A-0908-1608"	"yanlış, yetersiz ya da söylenti"	"olmasının"	"önemini yitirdiği, önemli olanın kurulan"
"s"	"S-BEABXz-0387-1661"	"Yani... Burası belediyenin mülkü mülk"	"olarak"	"belediyenin yani bu bahçe <B>"
"s"	"S-BEABXO-0117-1545"	"yani. Çok zor evet. Şey"	"olması."	"Katsayı problemi kalkınca istediğimi seçebilme"
"s"	"S-BEABXO-0081-349"	"yani. Olursa biz peşin alırız."	"Olmazsa"	"<B> <D 20> Durmuşgilin evi"
"s"	"S-BEABXO-0452-1182"	"Yani. Dua et ki. Okul"	"olmadığı"	"halde böyleyse ben bi de"
"s"	"S-BEABXO-0451-339"	"yani. Bence de biraz öle"	"oldu."	"Yemiyo musun sen şimdi bundan?"
"s"	"S-BEABXw-0404-643"	"yani. Amuda kalkmayı bilmiyor bile"	"olsa"	"yine kalkar yani. Öğrenir o,"
"s"	"S-BEABXB-0073-1744"	"yani. Ama vücut yapması mantıklı"	"olmuş."	"Tabi canım. Çünkü çok şey"
"s"	"S-ACAAQq-0424-1920"	"Yani, alınan bu tedbirlerin yeterli"	"olduğu"	"noktasında tereddütlerimiz olduğu için, bunu"
"w"	"W-TG03A0A-0203-1879"	"yani Zenime “hiç” “hiç” “hiç”"	"olmayı"	"başaramaz. Zaten halk da “hiç”"
"w"	"W-PA16B0A-0160-104"	"yani Yusuf'un da durumu böyle"	"olabilirdi."	"Eğer gerçek ise bu tam"
"w"	"W-MF10A2A-1869-2334"	"yani TÜSİAD (1999)'da (1999)'da göreli"	"olarak"	"iktisadi faaliyetleri gerileyen kentler için"
"s"	"S-ADABIO-0437-56"	"yani reklamlarda ki gibi kolay"	"olması"	"ondan da böyle şekilsiz oldu"
"s"	"S-ADABIA-0264-1086"	"yani piyer cardin gibi işler"	"olduğu"	"sürece seve seve mankenlik yapmaya"
